source,target,database
IHH,SFRP2,STRING
IHH,DISP1,STRING
IHH,STK36,STRING
IHH,PAX3,STRING
IHH,KIF27,STRING
IHH,KIF7,STRING
IHH,SUFU,STRING
IHH,GLI3,STRING
IHH,GLI2,STRING
IHH,DHH,STRING
IHH,SHH,STRING
IHH,HHIP,STRING
IHH,PTCH1,STRING
IHH,PTCH2,STRING
INTS4,HEATR6,STRING
INTS4,RELCH,STRING
INTS4,STK36,STRING
INTS4,HEATR4,STRING
KIF21B,SMO,STRING
KIF21B,STK36,STRING
KIF21B,KIF27,STRING
KIF21B,SUFU,STRING
KIF21B,KIF7,STRING
KIF27,GLI1,STRING
KIF27,SMO,STRING
KIF27,DISP1,STRING
KIF27,STK36,STRING
KIF27,IHH,STRING
KIF27,HHIP,STRING
KIF27,SHH,STRING
KIF27,DHH,STRING
KIF27,DPCD,STRING
KIF27,PTCH2,STRING
KIF27,ULK4,STRING
KIF27,KIF7,STRING
KIF27,KIF21B,STRING
KIF27,PTCH1,STRING
KIF27,GLI2,STRING
KIF27,SUFU,STRING
KIF27,GLI3,STRING
KIF7,GLI1,STRING
KIF7,SMO,STRING
KIF7,DISP1,STRING
KIF7,STK36,STRING
KIF7,IHH,STRING
KIF7,HHIP,STRING
KIF7,SHH,STRING
KIF7,KIF27,STRING
KIF7,PTCH1,STRING
KIF7,SUFU,STRING
KIF7,PTCH2,STRING
KIF7,KIF21B,STRING
KIF7,DHH,STRING
KIF7,GLI3,STRING
KIF7,GLI2,STRING
LRRC6,RSPH4A,STRING
LRRC6,RSPH3,STRING
LRRC6,DNAH9,STRING
LRRC6,GAS8,STRING
LRRC6,RSPH1,STRING
LRRC6,STK36,STRING
LRRC6,DNAAF5,STRING
LRRC6,SPEF2,STRING
LRRC6,CCDC151,STRING
LRRC6,RSPH9,STRING
LRRC6,CCDC40,STRING
LRRC6,CCDC103,STRING
LRRC6,CFAP221,STRING
LRRC6,DNAH11,STRING
LRRC6,TTC25,STRING
MEAK7,STK36,STRING
PACRG,RSPH4A,STRING
PACRG,RSPH3,STRING
PACRG,GAS8,STRING
PACRG,STK36,STRING
PACRG,RSPH9,STRING
PACRG,DNAH11,STRING
PACRG,SPEF2,STRING
PACRG,TTC25,STRING
PACRG,SPAG6,STRING
PACRG,CCDC151,STRING
PACRG,CCDC40,STRING
PAX3,GLI1,STRING
PAX3,WNT6,STRING
PAX3,STK36,STRING
PAX3,IHH,STRING
PAX3,SHH,STRING
PAX3,PTCH1,STRING
PAX3,GLI2,STRING
PAX3,GLI3,STRING
